Mismatch at pos (209, 2042) cpu: -4.99054e-05 gpu: -4.99091e-05
Mismatch at pos (209, 2618) cpu: -8.67335e-06 gpu: -8.67175e-06
Mismatch at pos (209, 3927) cpu: 1.30103e-05 gpu: 1.30098e-05
Mismatch at pos (210, 1309) cpu: -5.53079e-06 gpu: -5.52978e-06
Mismatch at pos (210, 2618) cpu: 1.1059e-05 gpu: 1.10614e-05
Mismatch at pos (210, 3351) cpu: -5.811e-05 gpu: -5.81123e-05
Mismatch at pos (210, 3927) cpu: -1.65917e-05 gpu: -1.65904e-05
Mismatch at pos (211, 1309) cpu: -1.53758e-05 gpu: -1.53768e-05
Mismatch at pos (211, 2618) cpu: 3.07551e-05 gpu: 3.07573e-05
Mismatch at pos (212, 1309) cpu: -2.51703e-05 gpu: -2.51689e-05
Mismatch at pos (212, 2618) cpu: 5.03369e-05 gpu: 5.03408e-05
Mismatch at pos (213, 1309) cpu: -3.48686e-05 gpu: -3.48715e-05
Mismatch at pos (214, 2618) cpu: 8.88923e-05 gpu: 8.88964e-05
Mismatch at pos (215, 1309) cpu: -5.38606e-05 gpu: -5.38635e-05
Mismatch at pos (218, 1309) cpu: -8.08195e-05 gpu: -8.08128e-05
Mismatch at pos (220, 1309) cpu: -9.73876e-05 gpu: -9.73795e-05
Mismatch at pos (222, 1309) cpu: -0.000112553 gpu: -0.000112545
Mismatch at pos (224, 1309) cpu: -0.000126102 gpu: -0.000126094
Mismatch at pos (227, 1309) cpu: -0.000142965 gpu: -0.000142975
Mismatch at pos (228, 1309) cpu: -0.000147598 gpu: -0.000147584
Mismatch at pos (229, 1309) cpu: -0.000151673 gpu: -0.000151685
Mismatch at pos (230, 1309) cpu: -0.00015523 gpu: -0.000155218
Mismatch at pos (231, 1309) cpu: -0.0001582 gpu: -0.000158211
Mismatch at pos (232, 1309) cpu: -0.000160633 gpu: -0.000160615
Mismatch at pos (234, 1309) cpu: -0.000163723 gpu: -0.000163705
Mismatch at pos (236, 1309) cpu: -0.000164457 gpu: -0.000164442
Mismatch at pos (237, 1309) cpu: -0.000163916 gpu: -0.000163924
Mismatch at pos (238, 1309) cpu: -0.000162818 gpu: -0.000162809
Mismatch at pos (239, 1309) cpu: -0.000161106 gpu: -0.000161115
Mismatch at pos (240, 1309) cpu: -0.000158839 gpu: -0.000158832
Mismatch at pos (241, 1309) cpu: -0.000155976 gpu: -0.000155988
Mismatch at pos (243, 1309) cpu: -0.000148609 gpu: -0.000148617
Mismatch at pos (244, 1309) cpu: -0.000144122 gpu: -0.000144114
Mismatch at pos (248, 1309) cpu: -0.000121148 gpu: -0.000121142
Mismatch at pos (249, 2618) cpu: 0.000228527 gpu: 0.000228518
Mismatch at pos (250, 1309) cpu: -0.000106962 gpu: -0.000106955
Mismatch at pos (252, 1309) cpu: -9.12356e-05 gpu: -9.12297e-05
Mismatch at pos (254, 1309) cpu: -7.41974e-05 gpu: -7.41908e-05
Mismatch at pos (256, 1309) cpu: -5.60907e-05 gpu: -5.6086e-05
Mismatch at pos (256, 2618) cpu: 0.000112173 gpu: 0.000112168
Mismatch at pos (257, 1309) cpu: -4.67131e-05 gpu: -4.67156e-05
Mismatch at pos (259, 1309) cpu: -2.7498e-05 gpu: -2.74998e-05
Mismatch at pos (262, 576) cpu: 2.67424e-05 gpu: 2.67401e-05
Mismatch at pos (262, 733) cpu: 2.47599e-05 gpu: 2.47612e-05
Mismatch at pos (262, 1309) cpu: 1.97937e-06 gpu: 1.97958e-06
Mismatch at pos (262, 1885) cpu: -2.87197e-05 gpu: -2.87211e-05
Mismatch at pos (262, 2461) cpu: 5.546e-05 gpu: 5.54622e-05
Mismatch at pos (262, 2618) cpu: -3.9589e-06 gpu: -3.95859e-06
Mismatch at pos (262, 3351) cpu: 2.08019e-05 gpu: 2.08008e-05
Mismatch at pos (262, 3770) cpu: -5.74398e-05 gpu: -5.74429e-05
Mismatch at pos (262, 3927) cpu: 5.93939e-06 gpu: 5.93807e-06
Mismatch at pos (263, 1309) cpu: 1.18353e-05 gpu: 1.18359e-05
Mismatch at pos (263, 2618) cpu: -2.36774e-05 gpu: -2.36753e-05
Mismatch at pos (267, 1309) cpu: 5.049e-05 gpu: 5.04932e-05
Mismatch at pos (269, 1309) cpu: 6.88639e-05 gpu: 6.88685e-05
Mismatch at pos (271, 1309) cpu: 8.62497e-05 gpu: 8.62538e-05
Mismatch at pos (275, 2618) cpu: -0.000234148 gpu: -0.000234139
Mismatch at pos (279, 2618) cpu: -0.000282368 gpu: -0.000282352
Mismatch at pos (280, 1309) cpu: 0.000145985 gpu: 0.000145976
Mismatch at pos (281, 1309) cpu: 0.000150268 gpu: 0.00015026
Mismatch at pos (282, 1309) cpu: 0.000154011 gpu: 0.000153999
Mismatch at pos (282, 3927) cpu: 0.000462033 gpu: 0.000462015
Mismatch at pos (283, 1309) cpu: 0.000157193 gpu: 0.000157185
Mismatch at pos (284, 1309) cpu: 0.000159819 gpu: 0.000159804
Mismatch at pos (284, 3927) cpu: 0.000479451 gpu: 0.000479431
Mismatch at pos (285, 1309) cpu: 0.000161864 gpu: 0.000161849
Mismatch at pos (286, 1309) cpu: 0.000163328 gpu: 0.000163313
Mismatch at pos (287, 1309) cpu: 0.000164201 gpu: 0.00016419
Mismatch at pos (288, 1309) cpu: 0.000164485 gpu: 0.000164475
Mismatch at pos (290, 1309) cpu: 0.000163278 gpu: 0.000163269
Mismatch at pos (292, 1309) cpu: 0.000159729 gpu: 0.000159713
Mismatch at pos (294, 1309) cpu: 0.000153878 gpu: 0.000153864
Mismatch at pos (296, 1309) cpu: 0.000145809 gpu: 0.000145801
Mismatch at pos (305, 1309) cpu: 8.59078e-05 gpu: 8.59128e-05
Mismatch at pos (309, 3927) cpu: 0.000150316 gpu: 0.000150324
Mismatch at pos (311, 3927) cpu: 9.29723e-05 gpu: 9.29793e-05
Mismatch at pos (312, 1309) cpu: 2.12492e-05 gpu: 2.12505e-05
Mismatch at pos (312, 2618) cpu: -4.24983e-05 gpu: -4.2501e-05
Mismatch at pos (313, 3927) cpu: 3.42924e-05 gpu: 3.42969e-05
Mismatch at pos (314, 576) cpu: 2.12314e-05 gpu: 2.12295e-05
Mismatch at pos (314, 733) cpu: 1.96602e-05 gpu: 1.96581e-05
Mismatch at pos (314, 890) cpu: -6.05489e-05 gpu: -6.05465e-05
Mismatch at pos (314, 1152) cpu: -4.24619e-05 gpu: -4.24594e-05
Mismatch at pos (314, 1309) cpu: 1.57082e-06 gpu: 1.57197e-06
Mismatch at pos (314, 1466) cpu: 3.93186e-05 gpu: 3.93159e-05
Mismatch at pos (314, 2461) cpu: 4.40337e-05 gpu: 4.40316e-05
Mismatch at pos (314, 2618) cpu: -3.14211e-06 gpu: -3.14493e-06
Mismatch at pos (314, 2775) cpu: -3.77472e-05 gpu: -3.7744e-05
Mismatch at pos (314, 3194) cpu: 2.43724e-05 gpu: 2.43711e-05
Mismatch at pos (314, 3770) cpu: -4.56028e-05 gpu: -4.56056e-05
Mismatch at pos (314, 3927) cpu: 4.71563e-06 gpu: 4.71429e-06
Mismatch at pos (314, 4084) cpu: 3.62023e-05 gpu: 3.62046e-05
Mismatch at pos (315, 1309) cpu: -8.29186e-06 gpu: -8.29232e-06
Mismatch at pos (315, 3927) cpu: -2.48811e-05 gpu: -2.48778e-05
Mismatch at pos (316, 2618) cpu: 3.62583e-05 gpu: 3.6256e-05
Mismatch at pos (317, 2618) cpu: 5.5798e-05 gpu: 5.5796e-05
Mismatch at pos (319, 2618) cpu: 9.42085e-05 gpu: 9.42042e-05
Mismatch at pos (326, 1309) cpu: -0.000107266 gpu: -0.00010727
Mismatch at pos (328, 1309) cpu: -0.000121419 gpu: -0.000121427
Mismatch at pos (335, 1309) cpu: -0.00015611 gpu: -0.000156118
Mismatch at pos (341, 1309) cpu: -0.000164342 gpu: -0.000164353
Mismatch at pos (343, 1309) cpu: -0.000162376 gpu: -0.000162391
Mismatch at pos (345, 1309) cpu: -0.000158077 gpu: -0.000158094
Mismatch at pos (346, 1309) cpu: -0.000155088 gpu: -0.00015508
Mismatch at pos (347, 1309) cpu: -0.000151507 gpu: -0.000151517
Mismatch at pos (348, 1309) cpu: -0.000147413 gpu: -0.000147404
Mismatch at pos (353, 1309) cpu: -0.000119253 gpu: -0.000119257
Mismatch at pos (355, 1309) cpu: -0.000104833 gpu: -0.000104839
Mismatch at pos (356, 1309) cpu: -9.70536e-05 gpu: -9.7058e-05
Mismatch at pos (356, 2618) cpu: 0.000194117 gpu: 0.000194105
Mismatch at pos (357, 1309) cpu: -8.89081e-05 gpu: -8.89137e-05
Mismatch at pos (359, 1309) cpu: -7.17041e-05 gpu: -7.17106e-05
Mismatch at pos (360, 1309) cpu: -6.27035e-05 gpu: -6.27097e-05
Mismatch at pos (361, 1309) cpu: -5.34698e-05 gpu: -5.34758e-05
Mismatch at pos (362, 1309) cpu: -4.40496e-05 gpu: -4.40554e-05
Mismatch at pos (363, 1309) cpu: -3.44681e-05 gpu: -3.44711e-05
Mismatch at pos (364, 1309) cpu: -2.47646e-05 gpu: -2.47676e-05
Mismatch at pos (365, 1309) cpu: -1.49698e-05 gpu: -1.4971e-05
Mismatch at pos (366, 1309) cpu: -5.12145e-06 gpu: -5.12419e-06
Mismatch at pos (366, 2618) cpu: 1.02457e-05 gpu: 1.02441e-05
Mismatch at pos (366, 3927) cpu: -1.53652e-05 gpu: -1.53665e-05
Mismatch at pos (367, 1309) cpu: 4.74462e-06 gpu: 4.74424e-06
Mismatch at pos (367, 2042) cpu: -5.46028e-05 gpu: -5.46007e-05
